b_arm,ab_barm,mix_barm,eps_barm,ucb_barm,ab_var_barm,mix_var_barm,eps_var_barm,ucb_var_barm
2.0,2.0,2.0,5.0,5.0,0.34882821988353296,0.34882821988353296,0.5848643420828809,0.5848643420828809
4.0,4.0,4.0,5.0,2.0,0.22053521690830857,0.22053521690830857,1.2636679560335151,4.779751618270376
9.0,0.0,9.0,8.0,8.0,4.73866833651286,4.730552950708849,0.6245270506242634,0.6245270506242634
5.0,0.0,5.0,8.0,1.0,0.016146982529905984,3.000220583361383,2.506049787689515,3.7363950971282667
1.0,0.0,1.0,2.0,2.0,4.3938683442799515,0.6300135608112734,3.856060849263348,3.856060849263348
3.0,3.0,3.0,6.0,6.0,0.7180308502202132,0.7180308502202132,1.8110093105199194,1.8110093105199194
9.0,9.0,9.0,1.0,1.0,3.97898674908852,3.97898674908852,2.424157581850126,2.424157581850126
8.0,8.0,8.0,2.0,2.0,3.640802734319428,3.640802734319428,0.2948983734449384,0.2948983734449384
9.0,0.0,9.0,1.0,1.0,2.7559809069554273,4.587571193017133,3.0829288949599216,3.0829288949599216
7.0,7.0,7.0,8.0,4.0,2.6327421240855586,2.6327421240855586,4.323290178627103,0.6395831571062427
3.0,3.0,1.0,2.0,8.0,3.8716426457146973,4.2913431883863,1.9710595005358438,0.9774424279426902
2.0,0.0,2.0,8.0,8.0,3.4029575850368117,1.5898288067917594,1.6430101690859749,1.6430101690859749
5.0,7.0,5.0,2.0,4.0,1.7036295813515272,2.0869401871139748,0.11798969219427191,2.0471463622897543
5.0,0.0,5.0,4.0,3.0,4.25973144104196,0.6801188097820737,3.136699348483461,2.7272390709116188
5.0,0.0,5.0,6.0,6.0,1.5591769081812568,3.6382494471949522,1.899248393893147,1.899248393893147
3.0,3.0,3.0,6.0,6.0,4.797835138543322,4.797835138543322,3.3283137515474226,3.3283137515474226
4.0,4.0,4.0,5.0,0.0,0.24116732003747365,0.24116732003747365,3.1573595080153765,0.17249967857439763
2.0,2.0,2.0,0.0,2.0,4.598991332215795,4.598991332215795,1.8415188749428162,4.598991332215795
1.0,1.0,1.0,0.0,0.0,1.1309513733803611,1.1309513733803611,2.9349307789254935,2.9349307789254935
6.0,6.0,6.0,3.0,3.0,2.7649282915909703,2.7649282915909703,0.14402298370961686,0.14402298370961686
9.0,0.0,9.0,0.0,6.0,4.851808008397373,3.7784044660097535,4.851808008397373,0.5064957189813402
2.0,2.0,2.0,7.0,7.0,0.6397648536314782,0.6397648536314782,1.2878792959723557,1.2878792959723557
