arm,ab_var,ucb_var,eps_var,ucb_inf_var,mix_prop_var
0.0,0.0,0.0,,0.0,0.0
1.0,,,,,
2.0,,,0.0,,
3.0,,,,,
4.0,,,,,
5.0,,,,,
6.0,,,,,
7.0,,,,,
8.0,,,,,
9.0,,,,,
0.0,0.0,0.0,,0.0,0.0
1.0,0.0,0.0,,0.0,0.0
2.0,,,0.0,,
3.0,,,,,
4.0,,,0.0,,
5.0,,,,,
6.0,,,,,
7.0,,,,,
8.0,,,,,
9.0,,,,,
0.0,0.0,0.0,,0.0,0.0
1.0,0.0,0.0,,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
3.0,,,,,
4.0,,,2.749073576336799,,
5.0,,,,,
6.0,,,,,
7.0,,,,,
8.0,,,,,
9.0,,,,,
0.0,0.0,0.0,,0.0,0.0
1.0,0.0,0.0,,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,0.0,0.0
4.0,,,1.913684485133997,,
5.0,,,,,
6.0,,,,,
7.0,,,,,
8.0,,,,,
9.0,,,,,
0.0,0.0,0.0,,0.0,0.0
1.0,0.0,0.0,,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,0.0,0.0
4.0,0.0,0.0,1.4631558617267129,0.0,0.0
5.0,,,,,
6.0,,,,,
7.0,,,,,
8.0,,,,,
9.0,,,,,
0.0,0.0,0.0,,0.0,0.0
1.0,0.0,0.0,,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,0.0,0.0
4.0,0.0,0.0,1.1715185292718993,0.0,0.0
5.0,0.0,0.0,,0.0,0.0
6.0,,,,,
7.0,,,,,
8.0,,,,,
9.0,,,,,
0.0,0.0,0.0,,0.0,0.0
1.0,0.0,0.0,,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,0.0,0.0
4.0,0.0,0.0,1.1715185292718993,0.0,0.0
5.0,0.0,0.0,,0.0,0.0
6.0,0.0,0.0,,0.0,0.0
7.0,,,,,
8.0,,,0.0,,
9.0,,,,,
0.0,0.0,0.0,,0.0,0.0
1.0,0.0,0.0,,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,0.0,0.0
