,chosen_arm,optimal,reward,cost
0,1,1,-1,1
1,0,0,-1,1
2,0,1,0,0
3,2,1,-1,1
4,0,0,-1,1
5,0,0,-1,1
6,1,1,-1,1
7,2,0,-1,1
8,2,1,-1,1
9,0,0,-1,1
10,0,1,0,0
11,0,0,-1,1
12,0,1,0,0
13,0,0,-1,1
14,0,0,-1,1
15,0,0,-1,1
16,0,0,-1,1
17,0,0,-1,1
18,0,0,-1,1
19,0,0,-1,1
20,0,1,0,0
21,0,1,0,0
22,0,0,-1,1
23,0,0,-1,1
24,0,0,-1,1
25,2,1,-1,1
26,0,0,-1,1
27,0,0,-1,1
28,0,1,0,0
29,0,0,-1,1
30,0,0,-1,1
31,0,1,0,0
32,1,0,0,0
33,0,0,-1,1
34,1,0,-1,1
35,0,0,-1,1
36,0,0,-1,1
37,1,0,-1,1
38,0,0,-1,1
39,1,0,-1,1
40,0,0,-1,1
41,2,1,-1,1
42,0,1,0,0
43,1,0,-1,1
44,1,0,289,41
45,0,0,-1,1
46,0,1,0,0
47,0,0,-1,1
48,0,0,-1,1
49,1,0,-1,1
50,1,0,-1,1
51,1,0,-1,1
52,0,0,-1,1
53,0,0,-1,1
54,1,1,-1,1
55,0,0,-1,1
56,1,0,0,0
57,0,1,0,0
58,0,0,-1,1
59,0,0,-1,1
60,0,0,-1,1
61,0,0,-1,1
62,0,0,-1,1
63,0,0,-1,1
64,0,0,-1,1
65,1,0,-1,1
66,1,0,-1,1
67,0,0,-1,1
68,1,1,-1,1
69,1,1,-1,1
70,0,1,0,0
71,0,1,0,0
72,0,0,-1,1
73,0,0,-1,1
74,0,0,-1,1
75,0,0,-1,1
76,0,0,-1,1
77,0,0,-1,1
78,0,0,-1,1
79,2,1,-1,1
80,0,0,-1,1
81,0,0,-1,1
82,0,0,-1,1
83,0,0,-1,1
84,0,0,-1,1
85,0,0,-1,1
86,1,1,-1,1
87,0,0,-1,1
88,0,0,-1,1
89,0,0,-1,1
90,0,1,0,0
91,1,0,-1,1
92,0,0,-1,1
93,0,0,-1,1
94,0,0,-1,1
95,1,0,0,0
96,1,0,-1,1
97,0,0,-1,1
98,0,0,-1,1
99,0,0,-1,1
100,0,0,-1,1
101,0,0,-1,1
102,0,0,-1,1
103,0,0,-1,1
104,0,0,-1,1
105,0,0,-1,1
106,0,0,-1,1
107,0,0,-1,1
108,0,1,0,0
109,0,0,-1,1
110,0,0,-1,1
111,0,0,-1,1
112,0,0,-1,1
113,0,0,-1,1
114,0,1,0,0
115,2,1,-1,1
116,0,1,0,0
117,0,1,0,0
118,0,1,0,0
119,0,0,-1,1
120,1,0,-1,1
121,0,0,-1,1
122,1,0,-1,1
123,1,0,-1,1
124,0,1,0,0
125,1,1,-1,1
126,0,0,-1,1
127,1,1,-1,1
128,0,0,-1,1
129,0,0,-1,1
130,0,0,-1,1
131,1,0,-1,1
132,1,0,0,0
133,0,0,-1,1
134,0,1,0,0
135,2,1,-1,1
136,0,0,-1,1
137,0,0,-1,1
138,0,0,-1,1
139,0,0,-1,1
140,0,0,-1,1
141,1,0,-1,1
142,0,0,-1,1
143,0,0,-1,1
144,0,0,-1,1
145,0,0,-1,1
146,0,1,0,0
147,0,0,-1,1
148,1,0,0,0
149,1,1,-1,1
150,0,0,-1,1
151,2,1,-1,1
152,0,0,-1,1
153,0,0,-1,1
154,0,0,-1,1
155,0,1,0,0
156,0,0,-1,1
157,0,0,-1,1
158,0,0,-1,1
159,2,1,-1,1
160,0,0,-1,1
161,0,0,-1,1
162,0,1,0,0
163,1,1,-1,1
164,0,1,0,0
165,0,0,-1,1
166,0,1,0,0
167,1,0,-1,1
168,0,0,-1,1
169,0,0,-1,1
170,0,0,-1,1
171,0,1,0,0
172,0,0,-1,1
173,0,0,-1,1
174,1,0,0,0
175,0,0,-1,1
176,0,0,-1,1
177,0,0,-1,1
178,0,0,-1,1
179,0,0,-1,1
180,0,0,-1,1
181,0,0,-1,1
182,0,0,-1,1
183,0,1,0,0
184,0,0,-1,1
185,0,0,-1,1
186,0,0,-1,1
187,1,0,-1,1
188,0,0,-1,1
189,0,0,-1,1
190,0,0,-1,1
191,0,1,0,0
192,0,1,0,0
193,0,0,-1,1
194,0,0,-1,1
195,1,0,0,0
196,0,1,0,0
197,0,0,-1,1
198,0,1,0,0
199,0,0,-1,1
200,0,0,-1,1
201,0,1,0,0
202,0,0,-1,1
203,0,1,0,0
204,0,0,-1,1
205,0,1,0,0
206,0,0,-1,1
207,1,0,-1,1
