,chosen_arm,optimal,reward,cost
0,2,0,0.0,0
1,3,0,0.0,0
2,3,0,0.0,0
3,2,0,0.0,0
4,1,1,0.0,0
5,3,1,0.0,0
6,2,1,0.0,0
7,0,0,0.0,0
8,0,0,0.0,0
9,0,0,0.0,0
10,0,1,0.0,0
11,2,0,0.0,0
12,2,0,0.0,0
13,3,0,0.0,0
14,2,0,0.0,0
15,2,0,0.0,0
16,2,0,0.0,0
17,2,0,0.0,0
18,3,0,0.0,0
19,2,1,0.0,0
20,2,0,0.0,0
21,3,0,0.0,0
22,3,1,0.0,0
23,2,0,0.0,0
24,0,1,0.0,0
25,2,1,0.0,0
26,1,0,0.0,0
27,0,0,0.0,0
28,1,0,0.0,0
29,1,0,0.0,0
30,1,0,0.0,0
31,0,0,0.0,0
32,1,0,0.0,0
33,1,0,0.0,0
34,3,0,0.0,0
35,1,0,0.0,0
36,1,1,0.0,0
37,1,0,0.0,0
38,3,0,0.0,0
39,3,0,0.0,0
40,0,0,0.0,0
41,0,0,0.0,0
42,3,1,0.0,0
43,1,0,0.0,0
44,1,0,0.0,0
45,0,1,0.0,0
46,1,0,0.0,0
47,1,0,0.0,0
48,3,0,0.0,0
49,1,1,0.0,0
50,1,0,0.0,0
51,3,0,0.0,0
52,1,1,0.0,0
53,2,0,0.0,0
54,2,0,0.0,0
55,3,0,0.0,0
56,1,0,0.0,0
57,0,0,0.0,0
58,0,0,0.0,0
59,2,1,0.0,0
60,3,0,0.0,0
61,1,0,0.0,0
62,0,0,0.0,0
63,3,0,0.0,0
64,3,0,0.0,0
65,1,1,0.0,0
66,3,0,0.0,0
67,0,0,0.0,0
68,3,1,0.0,0
69,0,0,0.0,0
70,1,0,0.0,0
71,3,0,0.0,0
72,3,0,0.0,0
73,3,0,0.0,0
74,0,0,0.0,0
75,0,0,0.0,0
76,3,0,0.0,0
77,0,0,0.0,0
78,3,1,0.0,0
79,0,0,0.0,0
80,0,0,0.0,0
81,0,0,0.0,0
82,0,1,0.0,0
83,0,0,0.0,0
84,0,0,0.0,0
85,0,1,0.0,0
86,1,0,0.0,0
87,2,1,0.0,0
88,2,0,0.0,0
89,2,0,0.0,0
90,1,0,0.0,0
91,0,0,0.0,0
92,0,0,0.0,0
93,1,1,0.0,0
94,0,0,0.0,0
95,3,0,0.0,0
96,3,0,0.0,0
97,0,0,0.0,0
98,3,1,0.0,0
99,2,1,0.0,0
100,0,0,0.0,0
101,0,0,0.0,0
102,0,1,0.0,0
103,0,1,0.0,0
104,1,1,0.0,0
105,1,1,0.0,0
106,0,0,0.0,0
107,0,0,0.0,0
108,3,0,0.0,0
109,3,0,0.0,0
110,3,1,0.0,0
111,3,0,0.0,0
112,2,1,0.0,0
113,0,0,0.0,0
114,3,0,0.0,0
115,3,1,0.0,0
116,0,0,0.0,0
117,2,1,0.0,0
118,0,0,0.0,0
119,0,0,0.0,0
120,0,0,0.0,0
121,3,1,0.0,0
122,0,0,0.0,0
123,2,0,0.0,0
124,3,0,0.0,0
125,1,1,0.0,0
126,0,0,0.0,0
127,0,0,0.0,0
128,3,0,0.0,0
129,0,0,0.0,0
130,0,0,0.0,0
131,2,0,0.0,0
132,0,0,0.0,0
133,2,0,0.0,0
134,0,0,0.0,0
135,0,0,0.0,0
136,0,1,0.0,0
137,0,0,0.0,0
138,0,0,0.0,0
139,2,0,0.01,0
140,3,1,0.0,0
141,2,0,0.0,0
142,2,0,0.0,0
143,2,0,0.0,0
144,0,0,0.0,0
145,2,0,0.0,0
146,0,0,0.0,0
147,0,0,0.0,0
148,3,1,0.0,0
149,0,0,0.0,0
150,0,0,0.0,0
151,0,0,0.0,0
152,1,0,0.0,0
153,0,0,0.0,0
154,2,0,0.0,0
155,0,0,0.0,0
156,0,1,0.0,0
157,0,0,0.0,0
158,0,1,0.0,0
159,2,0,0.0,0
160,0,0,0.0,0
161,0,0,0.0,0
162,2,1,0.0,0
163,0,0,0.0,0
164,2,0,0.0,0
165,0,0,0.0,0
166,2,0,0.0,0
167,2,0,0.0,0
168,0,0,0.0,0
169,2,1,0.0,0
170,2,1,0.0,0
171,0,0,0.0,0
172,0,0,0.0,0
173,1,1,0.0,0
174,0,0,0.0,0
175,0,0,0.0,0
176,0,0,0.0,0
177,0,0,0.0,0
178,3,0,0.0,0
179,2,0,0.0,0
180,0,0,0.0,0
181,0,1,0.0,0
182,2,1,0.0,0
183,0,0,0.0,0
184,0,0,0.0,0
185,1,0,0.0,0
186,2,0,0.0,0
187,1,0,0.0,0
188,0,0,0.0,0
189,3,1,0.0,0
190,1,0,0.0,0
191,0,0,0.0,0
192,0,1,0.0,0
193,0,0,0.0,0
194,0,0,0.0,0
195,1,0,0.0,0
196,1,1,0.0,0
197,0,0,0.0,0
198,0,0,0.0,0
199,0,1,0.0,0
200,0,1,0.0,0
201,2,1,0.0,0
202,0,1,0.0,0
203,2,0,0.0,0
204,3,0,0.0,0
205,3,1,0.0,0
206,3,0,0.0,0
207,1,1,0.0,0
208,1,0,0.0,0
209,0,0,0.0,0
210,2,0,0.0,0
211,3,0,0.0,0
212,0,0,0.0,0
213,2,0,0.0,0
214,3,0,0.0,0
215,2,0,0.0,0
216,0,0,0.01,0
217,2,1,0.0,0
218,2,1,0.0,0
219,2,0,0.0,0
220,2,1,0.0,0
221,0,0,0.0,0
222,3,1,0.0,0
223,3,0,0.0,0
224,3,0,0.0,0
225,1,0,0.0,0
226,0,0,0.0,0
227,0,0,0.0,0
